,Artiste1,Artiste2
9400,Dave Brubeck,Tony Bennett
9460,Slide Hampton,Dave Brubeck
9511,Mary Lou Williams,Chu Berry
9534,Mary Lou Williams,Lovie Austin
9693,Mary Lou Williams,Don Byas
9700,Mary Lou Williams,Stella Brooks
9709,Mary Lou Williams,Mildred Bailey
9724,Mary Lou Williams,Kenny Clarke
9806,Jane Jarvis,Marian McPartland
9813,Marian McPartland,Béla Fleck
9933,Marian McPartland,Jimmy Dorsey
9941,Marian McPartland,Tommy Flanagan
9948,Jane Jarvis,Ethel Waters
10147,Gerald Wiggins,Helen Humes
10175,Bob Haggart,Howard Alden
10227,Bob Haggart,Kenny Davern
10247,Bob Haggart,Ray Bauduc
10415,Slide Hampton,Kenny Clarke
10470,Jimmy Owens (musician),Clifford Brown
10482,Roy Haynes,Joe Benjamin
10493,Roy Haynes,Ronnell Bright
10510,Abbey Lincoln,Jack DeJohnette
10519,Roy Haynes,Gary Burton
10547,Slide Hampton,Joe Henderson
10625,Jimmy Owens (musician),Wayne Shorter
10644,Roy Haynes,Kenny Burrell
10711,Gerald Wiggins,George Treadwell
10908,Roy Haynes,Nelson Boyd
11090,Roy Haynes,Don Braden
11145,Buster Williams,Nelson Boyd
11173,Gerald Wiggins,George Wein
11193,Herbie Hancock,Philly Joe Jones
11526,Slide Hampton,Stevie Wonder
11560,Gerald Wiggins,Lena Horne
11606,Herbie Hancock,Donald Byrd
11766,Herbie Hancock,Gil Evans
11778,Herbie Hancock,Teo Macero
11786,Herbie Hancock,George Coleman
11869,Buster Williams,Herbie Hancock
11960,Jimmy Owens (musician),Donald Byrd
12315,Benny Powell,Tony Bennett
12381,Charles McPherson (musician),Buddy Bolden
12469,Slide Hampton,Melba Liston
12475,Melba Liston,Vi Redd
12486,Melba Liston,Bardu Ali
12517,Melba Liston,Art Farmer
12523,Melba Liston,Buddy Collette
12541,Toshiko Akiyoshi,Snooky Young
12741,Jimmy Owens (musician),Randy Weston
12756,Benny Powell,Art Farmer
12766,Jimmy Owens (musician),Slide Hampton
12845,Slide Hampton,Buddy Johnson
12869,Slide Hampton,Don Sebesky
12871,Slide Hampton,Willie Maiden
12899,Slide Hampton,Benny Bailey
12914,Slide Hampton,Lee Morgan
12916,Slide Hampton,Wynton Kelly
12946,Slide Hampton,Dennis Mackrel
12953,Slide Hampton,Carmell Jones
12956,Slide Hampton,Leo Wright
12958,Slide Hampton,Nat Adderley
12984,Slide Hampton,Bill Watrous
13196,Jimmy Owens (musician),Jerome Richardson
13225,Danny Barker,Chu Berry
13423,Gerald Wiggins,Sherman Ferguson
13496,Gerald Wiggins,Andy Simpkins
13498,Gerald Wiggins,Paul Humphrey
14165,Benny Powell,Ruth Brown
14199,Danny Barker,George Benson
14541,Toshiko Akiyoshi,Pepper Adams
14752,Jimmy Owens (musician),Jimmy Cobb
14762,Jimmy Owens (musician),Curtis Fuller
14766,Jimmy Owens (musician),Hank Mobley
14782,Jimmy Owens (musician),Garnett Brown
14800,Jimmy Owens (musician),Charles McPherson (musician)
14815,Jimmy Owens (musician),Roland Hanna
14903,Charles McPherson (musician),Pepper Adams
15089,Benny Powell,Benny Bailey
15143,Buster Williams,Kenny Barron
15404,Harold Ousley,Monty Alexander
16120,Danny Barker,Black Benny
16240,Danny Barker,Tommy Benford
16254,Danny Barker,Bernard Addison
16754,Abbey Lincoln,Eddie Beal
16824,Abbey Lincoln,Oscar Brown
17188,Delfeayo Marsalis,Brian Blade
