artist_url,Associated Artists,Associated Bands,Background,Birth Place,Birth Year,Death Place,Death Year,Genre,Instruments,Name
<http://dbpedia.org/resource/Paquito_D%27Rivera>,['Caribbean_Jazz_Project'],['Caribbean_Jazz_Project'],non_vocal_instrumentalist,"['Havana', 'Havana,_Cuba']",1948,,,"['Jazz', 'Afro-Cuban_jazz', 'Latin_Jazz']","['Saxophone, clarinet']",Paquito D'Rivera
<http://dbpedia.org/resource/Benny_Bailey>,"['Dizzy_Gillespie', 'Freddie_Redd', 'Tony_Coe', 'Lionel_Hampton', 'Quincy_Jones', 'Scatman_Crothers', 'Bull_Moose_Jackson', 'The_Kenny_Clarke-Francy_Boland_Big_Band']","['Dizzy_Gillespie', 'Freddie_Redd', 'Tony_Coe', 'Lionel_Hampton', 'Quincy_Jones', 'Scatman_Crothers', 'Bull_Moose_Jackson', 'The_Kenny_Clarke-Francy_Boland_Big_Band']",non_vocal_instrumentalist,"['Cleveland', 'Cleveland,_Ohio']",1925,Amsterdam,2005,"['Bebop', 'Jazz', 'Hard_bop']","['Trumpet, piano, flute']",Benny Bailey
<http://dbpedia.org/resource/Freddie_Hubbard>,"['Herbie_Hancock', 'Wayne_Shorter', 'Ornette_Coleman']","['Herbie_Hancock', 'Wayne_Shorter', 'Ornette_Coleman']",non_vocal_instrumentalist,['Indianapolis'],1938,"Sherman_Oaks,_Los_Angeles",2008,"['Bebop', 'Jazz', 'Post_bop', 'Hard_bop']","['Trumpet', 'Cornet', 'Flugelhorn', 'French_horn', 'Mellophone']",Freddie Hubbard
<http://dbpedia.org/resource/Dennis_Mackrel>,,,,,1962,,,,['Drummer'],Dennis Mackrel
<http://dbpedia.org/resource/Wynton_Kelly>,"['Miles_Davis', 'Wes_Montgomery', 'Jimmy_Cobb', 'Blue_Mitchell', 'Paul_Chambers']","['Miles_Davis', 'Wes_Montgomery', 'Jimmy_Cobb', 'Blue_Mitchell', 'Paul_Chambers']",non_vocal_instrumentalist,"['Brooklyn', 'New_York_(state)']",1931,Ontario,1971,['Jazz'],['Piano_(Wynton_Kelly_album)'],Wynton Kelly
<http://dbpedia.org/resource/Gil_Evans>,"['Kenny_Burrell', 'Miles_Davis', 'Gerry_Mulligan', 'Ryo_Kawasaki']","['Kenny_Burrell', 'Miles_Davis', 'Gerry_Mulligan', 'Ryo_Kawasaki']",non_vocal_instrumentalist,"['Ontario', 'Toronto']",1912,Cuernavaca,1988,"['Cool_jazz', 'Modal_jazz', 'Free_jazz', 'Jazz', 'Third_stream', 'Jazz_fusion']",['Piano'],Gil Evans
<http://dbpedia.org/resource/Carmell_Jones>,,,non_vocal_instrumentalist,"['Kansas_City,_Kansas']",1936,"Kansas_City,_Kansas",1996,"['Jazz', 'Hard_bop']",['Trumpet'],Carmell Jones
<http://dbpedia.org/resource/Don_Sebesky>,"['Stan_Kenton', 'Kai_Winding', 'Maynard_Ferguson', 'Claude_Thornhill', 'Tommy_Dorsey']","['Stan_Kenton', 'Kai_Winding', 'Maynard_Ferguson', 'Claude_Thornhill', 'Tommy_Dorsey']",non_vocal_instrumentalist,"['United_States', 'New_Jersey', 'Perth_Amboy,_New_Jersey', 'Perth_Amboy']",1937,,,"['Jazz', 'Big_band']","['Trombone', 'Keyboards']",Don Sebesky
<http://dbpedia.org/resource/Dizzy_Gillespie>,,,non_vocal_instrumentalist,"['Cheraw,_South_Carolina']",1917,"Englewood,_New_Jersey",1993,"['Bebop', 'Jazz', 'Afro-Cuban_jazz']","['Trumpet, piano, vocals']",Dizzy Gillespie
<http://dbpedia.org/resource/Bill_Watrous>,,,non_vocal_instrumentalist,"['Middletown,_Connecticut']",1939,,,['Jazz'],['Trombone'],Bill Watrous
<http://dbpedia.org/resource/Leo_Wright>,"['Dizzy_Gillespie', 'Kenny_Burrell', 'Johnny_Coles', 'Charles_Mingus', 'Blue_Mitchell']","['Dizzy_Gillespie', 'Kenny_Burrell', 'Johnny_Coles', 'Charles_Mingus', 'Blue_Mitchell']",non_vocal_instrumentalist,"['Wichita_Falls,_Texas', 'Texas', 'Wichita_Falls']",1933,Vienna,1991,['Jazz'],"['Alto_saxophone', 'Clarinet', 'Flute']",Leo Wright
<http://dbpedia.org/resource/David_Baker_(composer)>,,,,['Indianopolis'],1931,,2016,,,David Baker (composer)
<http://dbpedia.org/resource/Jimmy_Owens_(musician)>,['Ars_Nova_(American_band)'],['Ars_Nova_(American_band)'],solo_singer,,1943,,,['Jazz'],['Trumpet'],Jimmy Owens (musician)
<http://dbpedia.org/resource/Kenny_Clarke>,"['Dizzy_Gillespie', 'Johnny_Griffin', 'Modern_Jazz_Quartet']","['Dizzy_Gillespie', 'Johnny_Griffin', 'Modern_Jazz_Quartet']",non_vocal_instrumentalist,['Pittsburgh'],1914,"Montreuil,_Seine-Saint-Denis",1985,['Jazz'],['Drum_kit'],Kenny Clarke
<http://dbpedia.org/resource/Wes_Montgomery>,"['Cannonball_Adderley', 'Percy_Heath', 'Harold_Land', 'Jimmy_Smith_(musician)', 'Lionel_Hampton', 'Montgomery_Brothers', 'Jimmy_Cobb', 'Freddie_Hubbard', 'Milt_Jackson', 'Tommy_Flanagan', 'Don_Sebesky', 'Jimmy_Jones_(singer)', 'Nat_Adderley', 'Paul_Chambers']","['Cannonball_Adderley', 'Percy_Heath', 'Harold_Land', 'Jimmy_Smith_(musician)', 'Lionel_Hampton', 'Montgomery_Brothers', 'Jimmy_Cobb', 'Freddie_Hubbard', 'Milt_Jackson', 'Tommy_Flanagan', 'Don_Sebesky', 'Jimmy_Jones_(singer)', 'Nat_Adderley', 'Paul_Chambers']",non_vocal_instrumentalist,"['United_States', 'Indianapolis', 'Indiana']",1923,United_States,1968,"['Jazz', 'Crossover_jazz', 'Mainstream_jazz', 'Soul_jazz', 'Hard_bop']","['Bass_guitar', 'Guitar', 'Gibson_L-5_CES']",Wes Montgomery
<http://dbpedia.org/resource/Tommy_Dorsey>,"['Boswell_Sisters', 'Jimmy_Dorsey', 'Paul_Whiteman', 'Sy_Oliver', 'Frank_Sinatra', 'Glenn_Miller', 'Buddy_Rich', 'Jo_Stafford', 'Buddy_DeFranco', 'Nelson_Riddle', 'Jean_Goldkette', 'Dick_Haymes', 'Gene_Krupa', 'The_Pied_Pipers', 'Connie_Haines', 'The_California_Ramblers']","['Boswell_Sisters', 'Jimmy_Dorsey', 'Paul_Whiteman', 'Sy_Oliver', 'Frank_Sinatra', 'Glenn_Miller', 'Buddy_Rich', 'Jo_Stafford', 'Buddy_DeFranco', 'Nelson_Riddle', 'Jean_Goldkette', 'Dick_Haymes', 'Gene_Krupa', 'The_Pied_Pipers', 'Connie_Haines', 'The_California_Ramblers']",non_vocal_instrumentalist,"['Pennsylvania', 'Mahanoy_Plane', 'Shenandoah,_Pennsylvania']",1905,"Greenwich,_Connecticut",1956,"['Big_band_music', 'Jazz', 'Swing_music']",['Cornet'],Tommy Dorsey
<http://dbpedia.org/resource/Thelonious_Monk>,"['John_Coltrane', 'Miles_Davis', 'Sonny_Rollins', 'Milt_Jackson', 'Oscar_Pettiford', 'Art_Blakey']","['John_Coltrane', 'Miles_Davis', 'Sonny_Rollins', 'Milt_Jackson', 'Oscar_Pettiford', 'Art_Blakey']",non_vocal_instrumentalist,"['Rocky_Mount,_North_Carolina']",1917,"Englewood,_New_Jersey",1982,"['Bebop', 'Cool_jazz', 'Jazz', 'Hard_bop']",['Piano'],Thelonious Monk
