"","x"
"255","Marian McPartland"
"256","Count Basie"
"257","Benny Powell"
"258","Count Basie"
"259","Jimmy Owens (musician)"
"260","Count Basie"
"261","Roy Eldridge"
"262","Count Basie"
"263","Mary Lou Williams"
"264","Count Basie"
"265","Danny Barker"
"266","Count Basie"
"267","Vi Redd"
"268","Count Basie"
"269","Toshiko Akiyoshi"
"270","Count Basie"
"271","Jimmy Scott"
"272","Benny Carter"
"273","Jimmy Scott"
"274","Louis Armstrong"
"275","Jimmy Scott"
"276","Tommy Dorsey"
"277","Jimmy Scott"
"278","Betty Carter"
"279","Jimmy Scott"
"280","Big Maybelle"
"281","Jimmy Scott"
"282","Gerald Wilson"
"283","Jimmy Scott"
"284","Marty Paich"
"285","Roy Haynes"
"286","Charles Mingus"
"287","Jimmy Owens (musician)"
"288","Charles Mingus"
"289","Phil Woods"
"290","Sarah Vaughan"
"291","Gerald Wiggins"
"292","Benny Carter"
"293","Marian McPartland"
"294","Benny Carter"
"295","Roy Eldridge"
"296","Benny Carter"
"297","Abbey Lincoln"
"298","Benny Carter"
"299","Buddy DeFranco"
"300","Louis Armstrong"
"301","Roy Haynes"
"302","Louis Armstrong"
"303","Dave Brubeck"
"304","Louis Armstrong"
"305","Gerald Wiggins"
"306","Louis Armstrong"
"307","Roy Eldridge"
"308","Louis Armstrong"
"309","Mary Lou Williams"
"310","Louis Armstrong"
"311","Danny Barker"
"312","Louis Armstrong"
"313","Bob Haggart"
"314","Louis Armstrong"
"315","Buddy DeFranco"
"316","Tommy Dorsey"
"317","Benny Powell"
"318","Tommy Dorsey"
"319","Melba Liston"
"320","Tommy Dorsey"
"321","Buster Williams"
"322","Betty Carter"
"323","John Levy (musician)"
"324","Betty Carter"
"325","Slide Hampton"
"326","Dexter Gordon"
"327","Benny Waters"
"328","Jimmie Lunceford"
"329","Roy Eldridge"
"330","Ella Fitzgerald"
"331","Slide Hampton"
"332","Woody Herman"
"333","Buddy DeFranco"
"334","Norman Granz"
"335","Ed Shaughnessy"
"336","Norman Granz"
"337","Roy Eldridge"
"338","Norman Granz"
"339","Buddy DeFranco"
"340","Bix Beiderbecke"
"341","Buddy DeFranco"
"342","Charlie Barnet"
"343","Buddy DeFranco"
"344","Glenn Miller"
"345","Buddy DeFranco"
"346","Freddie Green"
"347","Buddy DeFranco"
"348","Gene Krupa"
"349","Roy Eldridge"
"350","Gene Krupa"
"351","Herbie Hancock"
"352","Chick Corea"
"353","Buddy DeFranco"
"354","Wardell Gray"
"355","Phil Woods"
"356","Charlie Barnet"
"357","Doc Cheatham"
"358","Sam Wooding"
"359","Doc Cheatham"
"360","Earle Warren"
"361","Doc Cheatham"
"362","Chick Webb"
"363","Doc Cheatham"
"364","Morey Feld"
"365","Doc Cheatham"
"366","Hank Jones"
"367","Doc Cheatham"
"368","Cab Calloway"
"369","Abbey Lincoln"
"370","Cab Calloway"
"371","McCoy Tyner"
"372","Alice Coltrane"
"373","McCoy Tyner"
"374","Billy Higgins"
"375","McCoy Tyner"
"376","Elvin Jones"
"377","Jimmy Owens (musician)"
"378","McCoy Tyner"
"379","Jimmy Owens (musician)"
"380","Elvin Jones"
"381","Delfeayo Marsalis"
"382","Elvin Jones"
"383","Roy Haynes"
"384","Sidney Bechet"
"385","Danny Barker"
"386","Sidney Bechet"
"387","Dave Brubeck"
"388","Louie Bellson"
"389","Louie Bellson"
"390","Don Abney"
"391","Louie Bellson"
"392","Cat Anderson"
"393","Jane Jarvis"
"394","Roy Eldridge"
"395","Marian McPartland"
"396","Roy Eldridge"
"397","Roy Eldridge"
"398","Charlie Christian"
"399","Roy Eldridge"
"400","Jabbo Smith"
"401","Roy Eldridge"
"402","Chu Berry"
"403","Roy Eldridge"
"404","Sid Catlett"
"405","Roy Eldridge"
"406","Herb Alpert"
"407","Roy Eldridge"
"408","George Benson"
"409","John Levy (musician)"
"410","Stuff Smith"
"411","John Levy (musician)"
"412","George Shearing"
"413","John Levy (musician)"
